1,1,0.01639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
1,2,0.01639344262295082,Lab3@1,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army for offencive missions, Immigration policy: Open borders, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
2,1,0.03278688524590164,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
2,2,0.03278688524590164,Lab3@1,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: leave, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
3,1,0.04918032786885246,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
3,2,0.04918032786885246,Lab3@1,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Low labor tax, Environmental tax: Low tax, Usage of army: Army for offencive missions, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs legal])
4,1,0.06557377049180328,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
4,2,0.06557377049180328,Lab3@1,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
5,1,0.08196721311475409,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
5,2,0.08196721311475409,Lab3@1,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Closed borders, Stay or leave EU: stay, National or globalized economy: Mostly dependent on national products, but some export, Drug policy: Softdrugs tolerated])
6,1,0.09836065573770492,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
6,2,0.09836065573770492,Lab3@1,(Offer  bid:Bid[Social Security: no welfare and health insurance, Labor tax: High labor tax, Environmental tax: High tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: All drugs legal])
7,1,0.11475409836065574,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
7,2,0.11475409836065574,Lab3@1,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: Low tax, Usage of army: Army for peace mission, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: All drugs illegal])
8,1,0.13114754098360656,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
8,2,0.13114754098360656,Lab3@1,(Offer  bid:Bid[Social Security: no welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
9,1,0.14754098360655737,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
9,2,0.14754098360655737,Lab3@1,(Offer  bid:Bid[Social Security: welfare and no health insurance, Labor tax: High labor tax, Environmental tax: Medium tax, Usage of army: Army just for defence, Immigration policy: People from the EU and refugees, Stay or leave EU: stay, National or globalized economy: somewhat dependent on export, Drug policy: Softdrugs tolerated])
10,1,0.16393442622950818,BoulwareNegotiationParty@0,(Offer  bid:Bid[Social Security: welfare and health insurance, Labor tax: Medium labor tax, Environmental tax: High tax, Usage of army: No army, Immigration policy: Open borders, Stay or leave EU: stay, National or globalized economy: mostly dependent on export, Drug policy: Softdrugs legal])
